datetime,city,humidity,pressure,temperature,weather_description,wind_speed,wind_direction,latitude,longitude
2024-02-06 19:52:16,Portland,90,1007,45.860000000000085,broken clouds,2.57,110,45.5234,-122.6762
2024-02-06 19:52:17,Kansas City,53,1018,48.938000000000045,clear sky,1.54,0,39.0997,-94.5786
2024-02-06 19:52:17,Philadelphia,69,1024,31.208000000000006,clear sky,2.06,100,39.9523,-75.1638
2024-02-06 19:52:17,Pittsburgh,63,1024,30.77600000000009,clear sky,1.35,57,40.4406,-79.9959
2024-02-06 19:52:18,Charlotte,54,1020,41.342,clear sky,1.34,1,35.2271,-80.8431
2024-02-06 19:52:18,Jacksonville,61,1017,52.23200000000001,clear sky,3.09,340,30.3322,-81.6556
2024-02-06 19:52:19,Detroit,78,1024,32.97200000000004,clear sky,2.06,130,42.3314,-83.0458
2024-02-06 19:52:19,Atlanta,64,1018,45.55400000000005,clear sky,0.0,0,33.749,-84.388
2024-02-06 19:52:19,Indianapolis,84,1022,32.95400000000005,few clouds,3.6,110,39.7684,-86.158
2024-02-06 19:52:20,Nashville,70,1020,42.8,clear sky,3.09,10,36.1659,-86.7844
2024-02-06 19:52:20,Chicago,82,1024,36.878000000000064,broken clouds,2.06,200,41.85,-87.65
2024-02-06 19:52:21,Saint Louis,58,1021,44.6,overcast clouds,1.54,120,38.6334,-90.4001
2024-02-06 19:52:21,Minneapolis,74,1016,44.65400000000005,scattered clouds,4.12,180,44.98,-93.2638
2024-02-06 19:52:21,Houston,62,1018,57.182000000000016,clear sky,4.63,180,29.7633,-95.3633
2024-02-06 19:52:22,Dallas,59,1020,56.641999999999996,clear sky,2.06,150,32.7668,-96.7836
2024-02-06 19:52:22,San Antonio,50,1012,56.912000000000056,clear sky,2.06,110,29.4241,-98.4936
2024-02-06 19:52:23,Denver,65,1006,40.91000000000008,broken clouds,0.45,268,39.7392,-104.9847
2024-02-06 19:52:24,Albuquerque,39,1013,52.91600000000001,overcast clouds,4.12,150,35.0845,-106.6511
2024-02-06 19:52:24,Phoenix,73,1004,57.524000000000015,broken clouds,9.26,180,33.4484,-112.074
2024-02-06 19:52:25,Las Vegas,85,1001,48.16400000000003,overcast clouds,8.05,50,36.175,-115.1372
2024-02-06 19:52:25,San Diego,84,1006,53.87000000000006,broken clouds,5.14,260,32.7153,-117.1573
2024-02-06 19:52:25,Los Angeles,93,1008,48.84800000000003,light rain,4.12,20,34.0522,-118.2437
2024-02-06 19:52:26,Seattle,92,1006,42.998000000000026,broken clouds,1.79,87,47.6062,-122.3321
2024-02-06 19:52:26,Boston,78,1024,30.416000000000007,few clouds,2.06,340,42.3584,-71.0598
2024-02-06 19:52:27,San Francisco,78,1004,51.872000000000035,scattered clouds,8.49,270,37.7749,-122.4194
2024-02-06 19:52:27,Miami,66,1012,60.78200000000002,clear sky,7.72,350,25.7743,-80.1937
2024-02-06 19:52:27,New York,56,1024,35.24000000000002,clear sky,4.47,9,40.7143,-74.006
